value,data
137,"[{""id"":6,""group"":false,""groupId"":{""empty"":true,""present"":false},""subModel"":false,""displayName"":""540C""},{""id"":11,""group"":false,""groupId"":{""empty"":true,""present"":false},""subModel"":false,""displayName"":""570GT""},{""id"":7,""group"":false,""groupId"":{""empty"":true,""present"":false},""subModel"":false,""displayName"":""570S""},{""id"":14,""group"":false,""groupId"":{""empty"":true,""present"":false},""subModel"":false,""displayName"":""600LT""},{""id"":19,""group"":false,""groupId"":{""empty"":true,""present"":false},""subModel"":false,""displayName"":""620R""},{""id"":10,""group"":false,""groupId"":{""empty"":true,""present"":false},""subModel"":false,""displayName"":""650S""},{""id"":3,""group"":false,""groupId"":{""empty"":true,""present"":false},""subModel"":false,""displayName"":""650S Coupé""},{""id"":4,""group"":false,""groupId"":{""empty"":true,""present"":false},""subModel"":false,""displayName"":""650S Spider""},{""id"":8,""group"":false,""groupId"":{""empty"":true,""present"":false},""subModel"":false,""displayName"":""675LT""},{""id"":9,""group"":false,""groupId"":{""empty"":true,""present"":false},""subModel"":false,""displayName"":""675LT Spider""},{""id"":12,""group"":false,""groupId"":{""empty"":true,""present"":false},""subModel"":false,""displayName"":""720S""},{""id"":18,""group"":false,""groupId"":{""empty"":true,""present"":false},""subModel"":false,""displayName"":""750S""},{""id"":15,""group"":false,""groupId"":{""empty"":true,""present"":false},""subModel"":false,""displayName"":""765""},{""id"":20,""group"":false,""groupId"":{""empty"":true,""present"":false},""subModel"":false,""displayName"":""765LT""},{""id"":21,""group"":false,""groupId"":{""empty"":true,""present"":false},""subModel"":false,""displayName"":""Artura""},{""id"":17,""group"":false,""groupId"":{""empty"":true,""present"":false},""subModel"":false,""displayName"":""Elva""},{""id"":13,""group"":false,""groupId"":{""empty"":true,""present"":false},""subModel"":false,""displayName"":""GT""},{""id"":2,""group"":false,""groupId"":{""empty"":true,""present"":false},""subModel"":false,""displayName"":""MP4-12C""},{""id"":5,""group"":false,""groupId"":{""empty"":true,""present"":false},""subModel"":false,""displayName"":""P1""},{""id"":22,""group"":false,""groupId"":{""empty"":true,""present"":false},""subModel"":false,""displayName"":""Senna GTR""},{""id"":16,""group"":false,""groupId"":{""empty"":true,""present"":false},""subModel"":false,""displayName"":""Speedtail""},{""id"":1,""group"":false,""groupId"":{""empty"":true,""present"":false},""subModel"":false,""displayName"":""Altele""}]"
140,"[{""id"":10,""group"":false,""groupId"":{""empty"":true,""present"":false},""subModel"":false,""displayName"":""124 Spider""},{""id"":2,""group"":false,""groupId"":{""empty"":true,""present"":false},""subModel"":false,""displayName"":""500""},{""id"":3,""group"":false,""groupId"":{""empty"":true,""present"":false},""subModel"":false,""displayName"":""500C""},{""id"":6,""group"":false,""groupId"":{""empty"":true,""present"":false},""subModel"":false,""displayName"":""595""},{""id"":7,""group"":false,""groupId"":{""empty"":true,""present"":false},""subModel"":false,""displayName"":""595C""},{""id"":11,""group"":false,""groupId"":{""empty"":true,""present"":false},""subModel"":false,""displayName"":""595 Competizione""},{""id"":12,""group"":false,""groupId"":{""empty"":true,""present"":false},""subModel"":false,""displayName"":""595 Turismo""},{""id"":8,""group"":false,""groupId"":{""empty"":true,""present"":false},""subModel"":false,""displayName"":""695""},{""id"":9,""group"":false,""groupId"":{""empty"":true,""present"":false},""subModel"":false,""displayName"":""695C""},{""id"":5,""group"":false,""groupId"":{""empty"":true,""present"":false},""subModel"":false,""displayName"":""Grande Punto""},{""id"":4,""group"":false,""groupId"":{""empty"":true,""present"":false},""subModel"":false,""displayName"":""Punto Evo""},{""id"":1,""group"":false,""groupId"":{""empty"":true,""present"":false},""subModel"":false,""displayName"":""Altele""}]"
149,"[{""id"":3,""group"":false,""groupId"":{""empty"":true,""present"":false},""subModel"":false,""displayName"":""Huayra""},{""id"":2,""group"":false,""groupId"":{""empty"":true,""present"":false},""subModel"":false,""displayName"":""Zonda""},{""id"":1,""group"":false,""groupId"":{""empty"":true,""present"":false},""subModel"":false,""displayName"":""Altele""}]"
172,"[{""id"":2,""group"":false,""groupId"":{""empty"":true,""present"":false},""subModel"":false,""displayName"":""Karma""},{""id"":3,""group"":false,""groupId"":{""empty"":true,""present"":false},""subModel"":false,""displayName"":""Ocean""},{""id"":1,""group"":false,""groupId"":{""empty"":true,""present"":false},""subModel"":false,""displayName"":""Altele""}]"
186,"[{""id"":1,""group"":false,""groupId"":{""empty"":true,""present"":false},""subModel"":false,""displayName"":""Altele""}]"
188,"[{""id"":1,""group"":false,""groupId"":{""empty"":true,""present"":false},""subModel"":false,""displayName"":""Altele""}]"
189,"[{""id"":1,""group"":false,""groupId"":{""empty"":true,""present"":false},""subModel"":false,""displayName"":""Altele""}]"
203,"[{""id"":1,""group"":false,""groupId"":{""empty"":true,""present"":false},""subModel"":false,""displayName"":""Altele""}]"
204,"[{""id"":1,""group"":false,""groupId"":{""empty"":true,""present"":false},""subModel"":false,""displayName"":""Altele""}]"
205,"[{""id"":1,""group"":false,""groupId"":{""empty"":true,""present"":false},""subModel"":false,""displayName"":""Altele""}]"
235,"[{""id"":2,""group"":false,""groupId"":{""empty"":true,""present"":false},""subModel"":false,""displayName"":""DS3""},{""id"":7,""group"":false,""groupId"":{""empty"":true,""present"":false},""subModel"":false,""displayName"":""DS3 Crossback""},{""id"":3,""group"":false,""groupId"":{""empty"":true,""present"":false},""subModel"":false,""displayName"":""DS4""},{""id"":5,""group"":false,""groupId"":{""empty"":true,""present"":false},""subModel"":false,""displayName"":""DS4 Crossback""},{""id"":4,""group"":false,""groupId"":{""empty"":true,""present"":false},""subModel"":false,""displayName"":""DS5""},{""id"":6,""group"":false,""groupId"":{""empty"":true,""present"":false},""subModel"":false,""displayName"":""DS7 (Crossback)""},{""id"":8,""group"":false,""groupId"":{""empty"":true,""present"":false},""subModel"":false,""displayName"":""DS9""},{""id"":1,""group"":false,""groupId"":{""empty"":true,""present"":false},""subModel"":false,""displayName"":""Altele""}]"
247,"[{""id"":2,""group"":false,""groupId"":{""empty"":true,""present"":false},""subModel"":false,""displayName"":""G01""},{""id"":1,""group"":false,""groupId"":{""empty"":true,""present"":false},""subModel"":false,""displayName"":""Altele""}]"
255,"[{""id"":2,""group"":false,""groupId"":{""empty"":true,""present"":false},""subModel"":false,""displayName"":""D8""},{""id"":4,""group"":false,""groupId"":{""empty"":true,""present"":false},""subModel"":false,""displayName"":""S7""},{""id"":3,""group"":false,""groupId"":{""empty"":true,""present"":false},""subModel"":false,""displayName"":""S8""},{""id"":1,""group"":false,""groupId"":{""empty"":true,""present"":false},""subModel"":false,""displayName"":""Altele""}]"
270,"[{""id"":4,""group"":false,""groupId"":{""empty"":true,""present"":false},""subModel"":false,""displayName"":""G70""},{""id"":2,""group"":false,""groupId"":{""empty"":true,""present"":false},""subModel"":false,""displayName"":""G80""},{""id"":3,""group"":false,""groupId"":{""empty"":true,""present"":false},""subModel"":false,""displayName"":""G90""},{""id"":8,""group"":false,""groupId"":{""empty"":true,""present"":false},""subModel"":false,""displayName"":""GV60""},{""id"":6,""group"":false,""groupId"":{""empty"":true,""present"":false},""subModel"":false,""displayName"":""GV70""},{""id"":7,""group"":false,""groupId"":{""empty"":true,""present"":false},""subModel"":false,""displayName"":""GV80""},{""id"":1,""group"":false,""groupId"":{""empty"":true,""present"":false},""subModel"":false,""displayName"":""Altele""}]"
375,"[{""id"":2,""group"":false,""groupId"":{""empty"":true,""present"":false},""subModel"":false,""displayName"":""MDX""},{""id"":3,""group"":false,""groupId"":{""empty"":true,""present"":false},""subModel"":false,""displayName"":""NSX""},{""id"":4,""group"":false,""groupId"":{""empty"":true,""present"":false},""subModel"":false,""displayName"":""RL""},{""id"":5,""group"":false,""groupId"":{""empty"":true,""present"":false},""subModel"":false,""displayName"":""RSX""},{""id"":6,""group"":false,""groupId"":{""empty"":true,""present"":false},""subModel"":false,""displayName"":""TL""},{""id"":7,""group"":false,""groupId"":{""empty"":true,""present"":false},""subModel"":false,""displayName"":""TSX""},{""id"":1,""group"":false,""groupId"":{""empty"":true,""present"":false},""subModel"":false,""displayName"":""Altele""}]"
800,"[{""id"":11,""group"":false,""groupId"":{""empty"":true,""present"":false},""subModel"":false,""displayName"":""City""},{""id"":5,""group"":false,""groupId"":{""empty"":true,""present"":false},""subModel"":false,""displayName"":""Crossline""},{""id"":12,""group"":false,""groupId"":{""empty"":true,""present"":false},""subModel"":false,""displayName"":""Roadline""},{""id"":13,""group"":false,""groupId"":{""empty"":true,""present"":false},""subModel"":false,""displayName"":""Scouty R""},{""id"":1,""group"":false,""groupId"":{""empty"":true,""present"":false},""subModel"":false,""displayName"":""Altele""}]"
900,"[{""id"":29,""group"":false,""groupId"":{""empty"":true,""present"":false},""subModel"":false,""displayName"":""4C""},{""id"":25,""group"":false,""groupId"":{""empty"":true,""present"":false},""subModel"":false,""displayName"":""8C""},{""id"":5,""group"":false,""groupId"":{""empty"":true,""present"":false},""subModel"":false,""displayName"":""Alfa 145""},{""id"":6,""group"":false,""groupId"":{""empty"":true,""present"":false},""subModel"":false,""displayName"":""Alfa 146""},{""id"":7,""group"":false,""groupId"":{""empty"":true,""present"":false},""subModel"":false,""displayName"":""Alfa 147""},{""id"":8,""group"":false,""groupId"":{""empty"":true,""present"":false},""subModel"":false,""displayName"":""Alfa 155""},{""id"":9,""group"":false,""groupId"":{""empty"":true,""present"":false},""subModel"":false,""displayName"":""Alfa 156""},{""id"":10,""group"":false,""groupId"":{""empty"":true,""present"":false},""subModel"":false,""displayName"":""Alfa 159""},{""id"":11,""group"":false,""groupId"":{""empty"":true,""present"":false},""subModel"":false,""displayName"":""Alfa 164""},{""id"":12,""group"":false,""groupId"":{""empty"":true,""present"":false},""subModel"":false,""displayName"":""Alfa 166""},{""id"":2,""group"":false,""groupId"":{""empty"":true,""present"":false},""subModel"":false,""displayName"":""Alfa 33""},{""id"":3,""group"":false,""groupId"":{""empty"":true,""present"":false},""subModel"":false,""displayName"":""Alfa 75""},{""id"":4,""group"":false,""groupId"":{""empty"":true,""present"":false},""subModel"":false,""displayName"":""Alfa 90""},{""id"":13,""group"":false,""groupId"":{""empty"":true,""present"":false},""subModel"":false,""displayName"":""Alfasud""},{""id"":14,""group"":false,""groupId"":{""empty"":true,""present"":false},""subModel"":false,""displayName"":""Alfetta""},{""id"":15,""group"":false,""groupId"":{""empty"":true,""present"":false},""subModel"":false,""displayName"":""Brera""},{""id"":23,""group"":false,""groupId"":{""empty"":true,""present"":false},""subModel"":false,""displayName"":""Crosswagon""},{""id"":16,""group"":false,""groupId"":{""empty"":true,""present"":false},""subModel"":false,""displayName"":""Giulia""},{""id"":17,""group"":false,""groupId"":{""empty"":true,""present"":false},""subModel"":false,""displayName"":""Giulietta""},{""id"":18,""group"":false,""groupId"":{""empty"":true,""present"":false},""subModel"":false,""displayName"":""GT""},{""id"":19,""group"":false,""groupId"":{""empty"":true,""present"":false},""subModel"":false,""displayName"":""GTV""},{""id"":27,""group"":false,""groupId"":{""empty"":true,""present"":false},""subModel"":false,""displayName"":""Junior""},{""id"":28,""group"":false,""groupId"":{""empty"":true,""present"":false},""subModel"":false,""displayName"":""MiTo""},{""id"":21,""group"":false,""groupId"":{""empty"":true,""present"":false},""subModel"":false,""displayName"":""Spider""},{""id"":22,""group"":false,""groupId"":{""empty"":true,""present"":false},""subModel"":false,""displayName"":""Sprint""},{""id"":30,""group"":false,""groupId"":{""empty"":true,""present"":false},""subModel"":false,""displayName"":""Stelvio""},{""id"":34,""group"":false,""groupId"":{""empty"":true,""present"":false},""subModel"":false,""displayName"":""Tonale""},{""id"":1,""group"":false,""groupId"":{""empty"":true,""present"":false},""subModel"":false,""displayName"":""Altele""}]"
1100,"[{""id"":2,""group"":false,""groupId"":{""empty"":true,""present"":false},""subModel"":false,""displayName"":""B10""},{""id"":3,""group"":false,""groupId"":{""empty"":true,""present"":false},""subModel"":false,""displayName"":""B12""},{""id"":4,""group"":false,""groupId"":{""empty"":true,""present"":false},""subModel"":false,""displayName"":""B3""},{""id"":14,""group"":false,""groupId"":{""empty"":true,""present"":false},""subModel"":false,""displayName"":""B4""},{""id"":5,""group"":false,""groupId"":{""empty"":true,""present"":false},""subModel"":false,""displayName"":""B5""},{""id"":6,""group"":false,""groupId"":{""empty"":true,""present"":false},""subModel"":false,""displayName"":""B6""},{""id"":7,""group"":false,""groupId"":{""empty"":true,""present"":false},""subModel"":false,""displayName"":""B7""},{""id"":8,""group"":false,""groupId"":{""empty"":true,""present"":false},""subModel"":false,""displayName"":""B8""},{""id"":9,""group"":false,""groupId"":{""empty"":true,""present"":false},""subModel"":false,""displayName"":""D10""},{""id"":11,""group"":false,""groupId"":{""empty"":true,""present"":false},""subModel"":false,""displayName"":""D3""},{""id"":18,""group"":false,""groupId"":{""empty"":true,""present"":false},""subModel"":false,""displayName"":""D3 S""},{""id"":15,""group"":false,""groupId"":{""empty"":true,""present"":false},""subModel"":false,""displayName"":""D4""},{""id"":19,""group"":false,""groupId"":{""empty"":true,""present"":false},""subModel"":false,""displayName"":""D4 S""},{""id"":12,""group"":false,""groupId"":{""empty"":true,""present"":false},""subModel"":false,""displayName"":""D5""},{""id"":10,""group"":false,""groupId"":{""empty"":true,""present"":false},""subModel"":false,""displayName"":""Roadster S""},{""id"":17,""group"":false,""groupId"":{""empty"":true,""present"":false},""subModel"":false,""displayName"":""XB7""},{""id"":13,""group"":false,""groupId"":{""empty"":true,""present"":false},""subModel"":false,""displayName"":""XD3""},{""id"":16,""group"":false,""groupId"":{""empty"":true,""present"":false},""subModel"":false,""displayName"":""XD4""},{""id"":1,""group"":false,""groupId"":{""empty"":true,""present"":false},""subModel"":false,""displayName"":""Altele""}]"
1400,"[{""id"":1,""group"":false,""groupId"":{""empty"":true,""present"":false},""subModel"":false,""displayName"":""Altele""}]"
1700,"[{""id"":2,""group"":false,""groupId"":{""empty"":true,""present"":false},""subModel"":false,""displayName"":""AR1""},{""id"":16,""group"":false,""groupId"":{""empty"":true,""present"":false},""subModel"":false,""displayName"":""Cygnet""},{""id"":3,""group"":false,""groupId"":{""empty"":true,""present"":false},""subModel"":false,""displayName"":""DB""},{""id"":17,""group"":false,""groupId"":{""empty"":true,""present"":false},""subModel"":false,""displayName"":""DB11""},{""id"":23,""group"":false,""groupId"":{""empty"":true,""present"":false},""subModel"":false,""displayName"":""DB12""},{""id"":4,""group"":false,""groupId"":{""empty"":true,""present"":false},""subModel"":false,""displayName"":""DB7""},{""id"":5,""group"":false,""groupId"":{""empty"":true,""present"":false},""subModel"":false,""displayName"":""DB9""},{""id"":14,""group"":false,""groupId"":{""empty"":true,""present"":false},""subModel"":false,""displayName"":""DBS""},{""id"":21,""group"":false,""groupId"":{""empty"":true,""present"":false},""subModel"":false,""displayName"":""DBX""},{""id"":6,""group"":false,""groupId"":{""empty"":true,""present"":false},""subModel"":false,""displayName"":""Lagonda""},{""id"":12,""group"":false,""groupId"":{""empty"":true,""present"":false},""subModel"":false,""displayName"":""Rapide""},{""id"":15,""group"":false,""groupId"":{""empty"":true,""present"":false},""subModel"":false,""displayName"":""V12 Vantage""},{""id"":13,""group"":false,""groupId"":{""empty"":true,""present"":false},""subModel"":false,""displayName"":""V8 Vantage""},{""id"":7,""group"":false,""groupId"":{""empty"":true,""present"":false},""subModel"":false,""displayName"":""Vanquish""},{""id"":10,""group"":false,""groupId"":{""empty"":true,""present"":false},""subModel"":false,""displayName"":""Virage""},{""id"":1,""group"":false,""groupId"":{""empty"":true,""present"":false},""subModel"":false,""displayName"":""Altele""}]"
1750,"[{""id"":3,""group"":false,""groupId"":{""empty"":true,""present"":false},""subModel"":false,""displayName"":""Rocsta""},{""id"":1,""group"":false,""groupId"":{""empty"":true,""present"":false},""subModel"":false,""displayName"":""Altele""}]"
1900,"[{""id"":2,""group"":false,""groupId"":{""empty"":true,""present"":false},""subModel"":false,""displayName"":""100""},{""id"":3,""group"":false,""groupId"":{""empty"":true,""present"":false},""subModel"":false,""displayName"":""200""},{""id"":5,""group"":false,""groupId"":{""empty"":true,""present"":false},""subModel"":false,""displayName"":""80""},{""id"":6,""group"":false,""groupId"":{""empty"":true,""present"":false},""subModel"":false,""displayName"":""90""},{""id"":25,""group"":false,""groupId"":{""empty"":true,""present"":false},""subModel"":false,""displayName"":""A1""},{""id"":7,""group"":false,""groupId"":{""empty"":true,""present"":false},""subModel"":false,""displayName"":""A2""},{""id"":8,""group"":false,""groupId"":{""empty"":true,""present"":false},""subModel"":false,""displayName"":""A3""},{""id"":9,""group"":false,""groupId"":{""empty"":true,""present"":false},""subModel"":false,""displayName"":""A4""},{""id"":33,""group"":false,""groupId"":{""empty"":true,""present"":false},""subModel"":false,""displayName"":""A4 Allroad""},{""id"":31,""group"":false,""groupId"":{""empty"":true,""present"":false},""subModel"":false,""displayName"":""A5""},{""id"":10,""group"":false,""groupId"":{""empty"":true,""present"":false},""subModel"":false,""displayName"":""A6""},{""id"":12,""group"":false,""groupId"":{""empty"":true,""present"":false},""subModel"":false,""displayName"":""A6 Allroad""},{""id"":66,""group"":false,""groupId"":{""empty"":true,""present"":false},""subModel"":false,""displayName"":""A6 e-tron""},{""id"":34,""group"":false,""groupId"":{""empty"":true,""present"":false},""subModel"":false,""displayName"":""A7""},{""id"":11,""group"":false,""groupId"":{""empty"":true,""present"":false},""subModel"":false,""displayName"":""A8""},{""id"":13,""group"":false,""groupId"":{""empty"":true,""present"":false},""subModel"":false,""displayName"":""Cabriolet""},{""id"":14,""group"":false,""groupId"":{""empty"":true,""present"":false},""subModel"":false,""displayName"":""Coupé""},{""id"":50,""group"":false,""groupId"":{""empty"":true,""present"":false},""subModel"":false,""displayName"":""e-tron""},{""id"":58,""group"":false,""groupId"":{""empty"":true,""present"":false},""subModel"":false,""displayName"":""e-tron GT""},{""id"":45,""group"":false,""groupId"":{""empty"":true,""present"":false},""subModel"":false,""displayName"":""Q2""},{""id"":37,""group"":false,""groupId"":{""empty"":true,""present"":false},""subModel"":false,""displayName"":""Q3""},{""id"":57,""group"":false,""groupId"":{""empty"":true,""present"":false},""subModel"":false,""displayName"":""Q4""},{""id"":61,""group"":false,""groupId"":{""empty"":true,""present"":false},""subModel"":false,""displayName"":""Q4 e-tron""},{""id"":32,""group"":false,""groupId"":{""empty"":true,""present"":false},""subModel"":false,""displayName"":""Q5""},{""id"":63,""group"":false,""groupId"":{""empty"":true,""present"":false},""subModel"":false,""displayName"":""Q6 e-tron""},{""id"":15,""group"":false,""groupId"":{""empty"":true,""present"":false},""subModel"":false,""displayName"":""Q7""},{""id"":46,""group"":false,""groupId"":{""empty"":true,""present"":false},""subModel"":false,""displayName"":""Q8""},{""id"":65,""group"":false,""groupId"":{""empty"":true,""present"":false},""subModel"":false,""displayName"":""Q8 e-tron""},{""id"":16,""group"":false,""groupId"":{""empty"":true,""present"":false},""subModel"":false,""displayName"":""quattro""},{""id"":29,""group"":false,""groupId"":{""empty"":true,""present"":false},""subModel"":false,""displayName"":""R8""},{""id"":26,""group"":false,""groupId"":{""empty"":true,""present"":false},""subModel"":false,""displayName"":""RS2""},{""id"":36,""group"":false,""groupId"":{""empty"":true,""present"":false},""subModel"":false,""displayName"":""RS3""},{""id"":27,""group"":false,""groupId"":{""empty"":true,""present"":false},""subModel"":false,""displayName"":""RS4""},{""id"":17,""group"":false,""groupId"":{""empty"":true,""present"":false},""subModel"":false,""displayName"":""RS5""},{""id"":28,""group"":false,""groupId"":{""empty"":true,""present"":false},""subModel"":false,""displayName"":""RS6""},{""id"":40,""group"":false,""groupId"":{""empty"":true,""present"":false},""subModel"":false,""displayName"":""RS7""},{""id"":60,""group"":false,""groupId"":{""empty"":true,""present"":false},""subModel"":false,""displayName"":""RS e-tron GT""},{""id"":41,""group"":false,""groupId"":{""empty"":true,""present"":false},""subModel"":false,""displayName"":""RSQ3""},{""id"":55,""group"":false,""groupId"":{""empty"":true,""present"":false},""subModel"":false,""displayName"":""RSQ8""},{""id"":42,""group"":false,""groupId"":{""empty"":true,""present"":false},""subModel"":false,""displayName"":""S1""},{""id"":18,""group"":false,""groupId"":{""empty"":true,""present"":false},""subModel"":false,""displayName"":""S2""},{""id"":19,""group"":false,""groupId"":{""empty"":true,""present"":false},""subModel"":false,""displayName"":""S3""},{""id"":20,""group"":false,""groupId"":{""empty"":true,""present"":false},""subModel"":false,""displayName"":""S4""},{""id"":30,""group"":false,""groupId"":{""empty"":true,""present"":false},""subModel"":false,""displayName"":""S5""},{""id"":21,""group"":false,""groupId"":{""empty"":true,""present"":false},""subModel"":false,""displayName"":""S6""},{""id"":67,""group"":false,""groupId"":{""empty"":true,""present"":false},""subModel"":false,""displayName"":""S6 e-tron""},{""id"":38,""group"":false,""groupId"":{""empty"":true,""present"":false},""subModel"":false,""displayName"":""S7""},{""id"":22,""group"":false,""groupId"":{""empty"":true,""present"":false},""subModel"":false,""displayName"":""S8""},{""id"":47,""group"":false,""groupId"":{""empty"":true,""present"":false},""subModel"":false,""displayName"":""SQ2""},{""id"":39,""group"":false,""groupId"":{""empty"":true,""present"":false},""subModel"":false,""displayName"":""SQ5""},{""id"":62,""group"":false,""groupId"":{""empty"":true,""present"":false},""subModel"":false,""displayName"":""SQ6 e-tron""},{""id"":44,""group"":false,""groupId"":{""empty"":true,""present"":false},""subModel"":false,""displayName"":""SQ7""},{""id"":54,""group"":false,""groupId"":{""empty"":true,""present"":false},""subModel"":false,""displayName"":""SQ8""},{""id"":64,""group"":false,""groupId"":{""empty"":true,""present"":false},""subModel"":false,""displayName"":""SQ8 e-tron""},{""id"":-38,""group"":true,""groupId"":{""empty"":true,""present"":false},""subModel"":false,""displayName"":""TT (alle)""},{""id"":23,""group"":false,""groupId"":{""empty"":false,""present"":true},""subModel"":true,""displayName"":""TT""},{""id"":35,""group"":false,""groupId"":{""empty"":false,""present"":true},""subModel"":true,""displayName"":""TT RS""},{""id"":4,""group"":false,""groupId"":{""empty"":false,""present"":true},""subModel"":true,""displayName"":""TTS""},{""id"":24,""group"":false,""groupId"":{""empty"":true,""present"":false},""subModel"":false,""displayName"":""V8""},{""id"":1,""group"":false,""groupId"":{""empty"":true,""present"":false},""subModel"":false,""displayName"":""Altele""}]"
1950,"[{""id"":1,""group"":false,""groupId"":{""empty"":true,""present"":false},""subModel"":false,""displayName"":""Altele""}]"
2000,"[{""id"":1,""group"":false,""groupId"":{""empty"":true,""present"":false},""subModel"":false,""displayName"":""Altele""}]"
2600,"[{""id"":2,""group"":false,""groupId"":{""empty"":true,""present"":false},""subModel"":false,""displayName"":""B1000""},{""id"":1,""group"":false,""groupId"":{""empty"":true,""present"":false},""subModel"":false,""displayName"":""Altele""}]"
